0	0	1	
1	2	2	
2	4	4	
3	6	8	
4	8	16	
5	10	32	
6	12	64	
7	14	128	
8	16	256	
9	18	512	
10	20	1024	
11	22	2048	
12	24	4096	
13	26	8192	
14	28	16384	
15	30	32768	
16	32	65536	
17	34	131072	
18	36	262144	
19	38	524288	
20	40	1048576	
21	42	2097152	
22	44	4194304	
23	46	8388608	
24	48	16777216	
25	50	33554432	
26	52	67108864	
27	54	134217728	
28	56	268435456	
29	58	536870912	
30	60	1073741824	
31	62	2147483648	
32	64	4294967296	
33	66	8589934592	
34	68	17179869184	
35	70	34359738368	
36	72	68719476736	
37	74	137438953472	
38	76	274877906944	
39	78	549755813888	
40	80	1099511627776	
41	82	2199023255552	
42	84	4398046511104	
43	86	8796093022208	
44	88	17592186044416	
45	90	35184372088832	
46	92	70368744177664	
47	94	140737488355328	
48	96	281474976710656	
49	98	562949953421312	
50	100	1125899906842624	
51	102	2251799813685248	
52	104	4503599627370496	
53	106	9007199254740992	
54	108	18014398509481984	
55	110	36028797018963968	
56	112	72057594037927936	
57	114	144115188075855872	
58	116	288230376151711744	
59	118	576460752303423488	
60	120	1152921504606846976	
61	122	2305843009213693952	
62	124	4611686018427387904	
63	126	9223372036854775808	
64	128	18446744073709551616	
65	130	36893488147419103232	
66	132	73786976294838206464	
67	134	147573952589676412928	
68	136	295147905179352825856	
69	138	590295810358705651712	
70	140	1180591620717411303424	
71	142	2361183241434822606848	
72	144	4722366482869645213696	
73	146	9444732965739290427392	
74	148	18889465931478580854784	
75	150	37778931862957161709568	
76	152	75557863725914323419136	
77	154	151115727451828646838272	
78	156	302231454903657293676544	
79	158	604462909807314587353088	
80	160	1208925819614629174706176	
81	162	2417851639229258349412352	
82	164	4835703278458516698824704	
83	166	9671406556917033397649408	
84	168	19342813113834066795298816	
85	170	38685626227668133590597632	
86	172	77371252455336267181195264	
87	174	154742504910672534362390528	
88	176	309485009821345068724781056	
89	178	618970019642690137449562112	
90	180	1237940039285380274899124224	
91	182	2475880078570760549798248448	
92	184	4951760157141521099596496896	
93	186	9903520314283042199192993792	
94	188	19807040628566084398385987584	
95	190	39614081257132168796771975168	
96	192	79228162514264337593543950336	
97	194	158456325028528675187087900672	
98	196	316912650057057350374175801344	
99	198	633825300114114700748351602688	
100	200	1267650600228229401496703205376	
